Correspondent,Assignors,Assignees,Invention Title,Application Date,Publish Date,Issue Date
CATHY WHITNEY,BANK ONE NA - ,XEROX CORPORATION - ,METHOD AND APPARATUS FOR RE-CLASSIFYING COLOR IMAGE PIXELS CLASSIFIED BY SINGLE CHANNEL SEGMENTATION,24-09-1999,18-03-2003,
CATHY WHITNEY,BANK ONE NA - ,XEROX CORPORATION - ,DISTRIBUTED CONTROL OF NON-LINEAR COUPLED SYSTEMS WITH A SINGLE OUTPUT,24-09-1999,19-06-2003,05-07-2005,
CATHY WHITNEY,BANK ONE NA - ,XEROX CORPORATION - ,HOT MELT INKS CONTAINING STYRENE OR TERPENE POLYMERS,23-09-1999,28-09-2004,
CATHY WHITNEY,BANK ONE NA - ,XEROX CORPORATION - ,METHOD AND APPARATUS FOR SINGLE CHANNEL COLOR IMAGE SEGMENTATION USING LOCAL CONTEXT BASED ADAPTIVE WEIGHTING,24-09-1999,10-09-2002,
CATHY WHITNEY,BANK ONE NA - ,XEROX CORPORATION - ,MARKET BASED CONTROL OF STRUCTURAL MOVEMENT,24-09-1999,13-03-2007,
CATHY WHITNEY,BANK ONE NA - ,XEROX CORPORATION - ,MANAGING POORLY COMPRESSIBLE IMAGES IN A RESOURCE LIMITED SYSTEM,29-09-1999,08-07-2003,
PAUL HASTINGS LLP,DIRKS RONALD S - JACOBS CHARLES L - ,NORTHWEST SUPERABRASIVE MANUFACTURING INC. - ,CHROMIUM MOUNTED DIAMOND PARTICLE CUTTING TOOL OR WEAR SURFACE AND METHOD,16-10-2001,27-06-2002,08-06-2004,
DAVID H. JUDSON,VIEIRA MARCELO P - ,AZUL MOBILE INC. - ,Bidding engine for intention-based e-commerce among buyers and competing sellers,21-06-2014,15-01-2015,
MARC E. FINEMAN/LEVENFELD PEARLSTEIN LLC,WELLS WILLIAM MCDOWALL - ,REDCLIFF INVESTMENTS L.L.C. - ,SECURE WORKFLOW AND DATA MANAGEMENT FACILITY,28-04-2014,21-08-2014,
SCOTT T. GRIGGS,SERRAGO DANIEL F. - EMMONS JAMES D. - ,IBEX DENTAL TECHNOLOGIES INC. - ,VACUUM OVEN,18-11-2010,19-05-2011,16-07-2013,
WORKMAN NYDEGGER,REYES STEVEN - BARON SCOTT - ,ABBOTT LABORATORIES - ,TISSUE CLOSURE SYSTEM AND METHODS OF USE,06-06-2011,29-09-2011,18-03-2014,
AMPACC LAW GROUP PLLC,NEWRATEK INC. - ,NEWRACOM INC. - ,METHOD OF PREDICTING MOTION VECTORS IN VIDEO CODEC IN WHICH MULTIPLE REFERENCES ARE ALLOWED AND MOTION VECTOR ENCODING/DECODING APPARATUS USING THE SAME,23-12-2010,01-12-2011,07-10-2014,
KONRAD GATIEN,ATHERONOVA INC. - ATHERONOVA OPERATIONS INC. - ,ACT CAPITAL PARTNERS LP - AYERLE ROBERT - CAMPBELL FRANK J. - ESTATE OF JUDITH W. CAMPBELL - JONATHAN ANDRON ROTH IRA - DELAWARE CHARTER GUARANTEE & TRUST COMPANY - ECKER AMIR L. - PATRICK K. & ALLISON MK DOYLE FAMILY TRUST - THE ECKER FAMILY PARTNERSHIP - EUROPA INTERNATIONAL INC. - PAUL JAY ROBERT - JACOBY RICHARD A. - THE JMW FUND LLC - KESZELI ALEXANDER - KUHN LARRY A. - LATERAL CAPITAL III LLC - LIEBROSS ADAM - LYNCH JAMES J. - MEYER CLARENCE J. - MYLI BURGER HOLDINGS LLC - RUTH R. PECK FAMILY TRUST - RATINER FAMILY 2005 REVOCABLE LIVING TRUST - RICHLAND FUND LLC - SAN GABRIEL FUND LLC - SUNTRUST DELAWARE TRUST COMPANY - TILNEY JOHN J. - VAN NATTA KYLE - WITTENBRAKER CAROLYN - W-NET FUND I LP - ,DISSOLUTION OF ARTERIAL PLAQUE,01-02-2008,07-08-2008,06-11-2012,
PROCOPIO CORY HARGREAVES & SAVITCH LLP,BOSTWICK PETER JOHN - ,CERTEFI INC. - ,POINT OF SALE SYSTEM INVENTORY SYSTEM AND METHODS THEREOF,10-03-2014,11-09-2014,
MARC E. FINEMAN/LEVENFELD PEARLSTEIN LLC,REDCLIFF INVESTMENTS L.L.C. - ,EVIZONE HOLDINGS LTD. - ,SECURE WORKFLOW AND DATA MANAGEMENT FACILITY,28-04-2014,21-08-2014,
MARC E. FINEMAN/LEVENFELD PEARLSTEIN LLC,MARCUS MICHAEL BERNARD - ,EVIZONE HOLDINGS LTD. - ,SECURE WORKFLOW AND DATA MANAGEMENT FACILITY,28-04-2014,21-08-2014,
PROCOPIO CORY HARGREAVES & SAVITCH LLP,BOSTWICK PETER JOHN - ,CERTEFI INC. - ,POINT OF SALE SYSTEM INVENTORY SYSTEM AND METHODS THEREOF,10-03-2014,11-09-2014,
MARC E. FINEMAN/LEVENFELD PEARLSTEIN LLC,EVIZONE HOLDINGS LTD. - ,EVIZONE IP HOLDINGS LTD. - ,SECURE WORKFLOW AND DATA MANAGEMENT FACILITY,28-04-2014,21-08-2014,
STEVEN MCMAHON ZELLER,KNOWLES ELECTRONICS ASIA PTE. LTD. - ,KNOWLES IPC (M) SDN BHD - ,ELECTROACOUSTIC TRANSDUCER HAVING A MOVING COIL  ELASTIC HOLDING ELEMENTS FOR THE CONNECTING LEADS OF THE MOVING COIL,25-01-2001,02-08-2001,25-02-2003,
STEVEN MCMAHON ZELLER,KNOWLES ELECTRONICS ASIA PTE. LTD. - ,KNOWLES IPC (M) SDN BHD - ,DIAPHRAGM FOR AN ELECTROACOUSTIC TRANSDUCER AND ELECTROACOUSTIC TRANSDUCER,28-01-2008,24-06-2010,03-01-2012,
STEVEN MCMAHON ZELLER,KNOWLES ELECTRONICS ASIA PTE. LTD. - ,KNOWLES IPC (M) SDN BHD - ,Method of and device for modifying the properties of a membrane for an electroacoustic transducer,17-08-2006,02-08-2007,14-01-2014,
STEVEN MCMAHON ZELLER,KNOWLES ELECTRONICS ASIA PTE. LTD. - ,KNOWLES IPC (M) SDN BHD - ,MICROPHONE,02-01-2013,02-05-2013,
STEVEN MCMAHON ZELLER,KNOWLES ELECTRONICS ASIA PTE. LTD. - ,KNOWLES IPC (M) SDN BHD - ,DIAPHRAGM FOR A LOUDSPEAKER WITH A MOVING COIL,23-10-2006,13-09-2007,26-08-2008,
STEVEN MCMAHON ZELLER,KNOWLES ELECTRONICS ASIA PTE. LTD. - ,KNOWLES IPC (M) SDN BHD - ,APPARATUS FOR ON-EAR OPERATION AND OFF-EAR OPERATION WITH TWO SOUND REPRODUCTION TRANSDUCERS,28-08-2000,30-09-2003,
STEVEN MCMAHON ZELLER,KNOWLES ELECTRONICS ASIA PTE. LTD. - ,KNOWLES IPC (M) SDN BHD - ,LOUDSPEAKER SYSTEM WITH IMPROVED SOUND,22-02-2013,04-07-2013,
STEVEN MCMAHON ZELLER,KNOWLES ELECTRONICS ASIA PTE. LTD. - ,KNOWLES IPC (M) SDN BHD - ,COMMUNICATION DEVICE COMPRISING SOUND-CONVEYING MEANS FOR TWO SOUND-PRODUCING MODES,12-01-2006,03-08-2006,14-09-2010,
STEVEN MCMAHON ZELLER,KNOWLES ELECTRONICS ASIA PTE. LTD. - ,KNOWLES IPC (M) SDN BHD - ,LOUDSPEAKER AND TELEPHONE DEVICE COMPRISING SUCH A LOUDSPEAKER,25-02-1998,18-04-2000,
STEVEN MCMAHON ZELLER,KNOWLES ELECTRONICS ASIA PTE. LTD. - ,KNOWLES IPC (M) SDN BHD - ,Acoustic Transducer Basket,18-04-2013,24-10-2013,
STEVEN MCMAHON ZELLER,KNOWLES ELECTRONICS ASIA PTE. LTD. - ,KNOWLES IPC (M) SDN BHD - ,ELECTROACOUSTIC TRANSDUCER COMPRISING A MEMBRANE WITH AN IMPROVED PLEATS AREA,11-07-2002,19-06-2003,24-02-2004,
STEVEN MCMAHON ZELLER,KNOWLES ELECTRONICS ASIA PTE. LTD. - ,KNOWLES IPC (M) SDN BHD - ,APPARATUS FOR OPERATION IN AN ON-EAR MODE AND AN OFF-EAR MODE,11-05-1999,12-12-2000,
STEVEN MCMAHON ZELLER,KNOWLES ELECTRONICS ASIA PTE. LTD. - ,KNOWLES IPC (M) SDN BHD - ,ELECTROACOUSTIC TRANSDUCER COMPRISING A CLOSING MEMBER FOR CLOSING THE REAR VOLUME OF THE TRANSDUCER,02-03-1998,14-03-2000,
STEVEN MCMAHON ZELLER,KNOWLES ELECTRONICS ASIA PTE. LTD. - ,KNOWLES IPC (M) SDN BHD - ,LOUDSPEAKER,24-05-2013,12-09-2013,18-11-2014,
STEVEN MCMAHON ZELLER,KNOWLES ELECTRONICS ASIA PTE. LTD. - ,KNOWLES IPC (M) SDN BHD - ,ASYMMETRICAL MOVING SYSTEMS FOR A PIEZOELECTRIC SPEAKER AND ASYMMETRICAL SPEAKER,14-05-2008,27-11-2008,26-11-2013,
STEVEN MCMAHON ZELLER,KNOWLES ELECTRONICS ASIA PTE. LTD. - ,KNOWLES IPC (M) SDN BHD - ,METHOD OF DETERMINING THE HARMONIC AND ANHARMONIC PORTIONS OF A RESPONSE SIGNAL OF A DEVICE,07-05-2009,30-09-2010,12-03-2013,
STEVEN MCMAHON ZELLER,KNOWLES ELECTRONICS ASIA PTE. LTD. - ,KNOWLES IPC (M) SDN BHD - ,DEVICE FOR GENERATING A MEDIUM STREAM,29-12-2005,20-07-2006,15-02-2011,
STEVEN MCMAHON ZELLER,KNOWLES ELECTRONICS ASIA PTE. LTD. - ,KNOWLES IPC (M) SDN BHD - ,VIBRATING ELEMENT FOR AN ELECTROACOUSTIC TRANSDUCER,23-03-2007,28-08-2008,26-04-2011,
STEVEN MCMAHON ZELLER,KNOWLES ELECTRONICS ASIA PTE. LTD. - ,KNOWLES IPC (M) SDN BHD - ,Micro Speaker,22-12-2011,19-04-2012,
STEVEN MCMAHON ZELLER,KNOWLES ELECTRONICS ASIA PTE. LTD. - ,KNOWLES IPC (M) SDN BHD - ,METHOD FOR MANUFACTURING AN ELECTROACOUSTICAL TRANSDUCER COMPRISING A MEMBRANE CONFIGURATION,10-03-2006,13-07-2006,01-03-2011,
STEVEN MCMAHON ZELLER,KNOWLES ELECTRONICS ASIA PTE. LTD. - ,KNOWLES IPC (M) SDN BHD - ,ELECTRO-ACOUSTIC APPARATUS COMPRISING AN ELECTRO-ACOUSTIC TRANSDUCER,22-05-2006,28-06-2007,21-04-2009,
STEVEN MCMAHON ZELLER,KNOWLES ELECTRONICS ASIA PTE. LTD. - ,KNOWLES IPC (M) SDN BHD - ,ELECTROACOUSTIC TRANSDUCER COMPRISING A MEMBERANE WITH A MIDDLE AREA COMPRISING STIFFENING GROOVES,17-05-2005,06-04-2006,11-12-2007,
STEVEN MCMAHON ZELLER,KNOWLES ELECTRONICS ASIA PTE. LTD. - ,KNOWLES IPC (M) SDN BHD - ,LOUDSPEAKER WITH PORT COMPRISING A PARTICLE FILTER,04-11-2013,20-03-2014,
STEVEN MCMAHON ZELLER,KNOWLES ELECTRONICS ASIA PTE. LTD. - ,KNOWLES IPC (M) SDN BHD - ,APPARATUS INCLUDING AN ELECTROACOUSTIC TRANSDUCER HAVING TERMINAL CONTACTS WHICH EXTEND IN THE DIRECTION OF THE TRANSDUCER AXIS AND INCLUDING A PRINTED CIRCUIT BOARD HAVING MATING CONTACTS,02-03-2000,09-04-2002,
STEVEN MCMAHON ZELLER,KNOWLES ELECTRONICS ASIA PTE. LTD. - ,KNOWLES IPC (M) SDN BHD - ,ELECTROACOUSTIC TRANSDUCER COMPRISING A CLOSING MEMBER,20-12-1996,10-03-1998,
STEVEN MCMAHON ZELLER,KNOWLES ELECTRONICS ASIA PTE. LTD. - ,KNOWLES IPC (M) SDN BHD - ,METHOD OF MANUFACTURING A COIL,24-02-2007,03-01-2008,19-04-2011,
STEVEN MCMAHON ZELLER,KNOWLES ELECTRONICS ASIA PTE. LTD. - ,KNOWLES IPC (M) SDN BHD - ,APPARATUS HAVING A HOUSING WHICH ACCOMMODATES A SOUND TRANSDUCER AND WHICH HAS A PASSAGE,26-01-2000,03-12-2002,
STEVEN MCMAHON ZELLER,KNOWLES ELECTRONICS ASIA PTE. LTD. - ,KNOWLES IPC (M) SDN BHD - ,PACKAGING OF ACOUSTIC VOLUME INCREASING MATERIALS FOR LOUDSPEAKER DEVICES,04-09-2013,26-12-2013,
STEVEN MCMAHON ZELLER,KNOWLES ELECTRONICS ASIA PTE. LTD. - ,KNOWLES IPC (M) SDN BHD - ,GENERATING DEVICE FOR GENERATING A USEFUL STREAM OF A MEDIUM IN PARTICULAR FOR GENERATING SOUND,19-08-2005,14-08-2008,23-02-2010,
STEVEN MCMAHON ZELLER,KNOWLES ELECTRONICS ASIA PTE. LTD. - ,KNOWLES IPC (M) SDN BHD - ,DEVICE INCLUDING A BUILT-IN ELECTROACOUSTIC TRANSDUCER FOR OPTIMUM SPEECH REPRODUCTION,04-08-1998,15-11-2001,20-01-2004,
STEVEN MCMAHON ZELLER,KNOWLES ELECTRONICS ASIA PTE. LTD. - ,KNOWLES IPC (M) SDN BHD - ,Acoustic Transducer Basket Assembly,18-04-2013,24-10-2013,
STEVEN MCMAHON ZELLER,KNOWLES ELECTRONICS ASIA PTE. LTD. - ,KNOWLES IPC (M) SDN BHD - ,Microphone with Adjustable Characteristics,16-10-2011,09-02-2012,
STEVEN MCMAHON ZELLER,KNOWLES ELECTRONICS ASIA PTE. LTD. - ,KNOWLES IPC (M) SDN BHD - ,Double Coil Speaker,26-04-2013,30-10-2014,
STEVEN MCMAHON ZELLER,KNOWLES ELECTRONICS ASIA PTE. LTD. - ,KNOWLES IPC (M) SDN BHD - ,MEMBRANE WITH A HIGH RESISTANCE AGAINST BUCKLING AND/OR CRINKLING,10-09-2007,28-08-2008,12-01-2010,
STEVEN MCMAHON ZELLER,KNOWLES ELECTRONICS ASIA PTE. LTD. - ,KNOWLES IPC (M) SDN BHD - ,ELECTROACOUSTIC TRANSDUCER HAVING A MOVING COIL AND HAVING MOVABLE HOLDING ELEMENTS FOR THE CONNECTING LEADS OF THE MOVING COIL,02-10-2002,10-04-2003,14-12-2004,
STEVEN MCMAHON ZELLER,KNOWLES ELECTRONICS ASIA PTE. LTD. - ,KNOWLES IPC (M) SDN BHD - ,INPUT DEVICE FOR AN ELECTRONIC DEVICE,30-11-2010,31-03-2011,09-07-2013,
STEVEN MCMAHON ZELLER,KNOWLES ELECTRONICS ASIA PTE. LTD. - ,KNOWLES IPC (M) SDN BHD - ,PORTED MEMS MICROPHONE,14-02-2011,16-08-2012,
STEVEN MCMAHON ZELLER,KNOWLES ELECTRONICS ASIA PTE. LTD. - ,KNOWLES IPC (M) SDN BHD - ,Joystick Input Device,08-08-2013,02-01-2014,
STEVEN MCMAHON ZELLER,KNOWLES ELECTRONICS ASIA PTE. LTD. - ,KNOWLES IPC (M) SDN BHD - ,COMPOUND MEMBRANE METHOD OF MANUFACTURING THE SAME AND ACOUSTIC DEVICE,07-05-2009,18-02-2010,09-10-2012,
STEVEN MCMAHON ZELLER,KNOWLES ELECTRONICS ASIA PTE. LTD. - ,KNOWLES IPC (M) SDN BHD - ,ELECTROACOUSTIC TRANSDUCER HAVING AXIALLY EXTENDING CORRUGATED SUPPORTING MEANS FOR THE DIAPHRAGM,16-02-1999,13-06-2000,
STEVEN MCMAHON ZELLER,KNOWLES ELECTRONICS ASIA PTE. LTD. - ,KNOWLES IPC (M) SDN BHD - ,ACOUSTIC DEVICE AND METHOD OF MANUFACTURING SAME,08-12-2008,23-09-2010,31-07-2012,
STEVEN MCMAHON ZELLER,KNOWLES ELECTRONICS ASIA PTE. LTD. - ,KNOWLES IPC (M) SDN BHD - ,MEMBRANE FOR A MEMS CONDENSER MICROPHONE,16-11-2007,04-09-2008,06-12-2011,
STEVEN MCMAHON ZELLER,KNOWLES ELECTRONICS ASIA PTE. LTD. - ,KNOWLES IPC (M) SDN BHD - ,ELECTROACOUSTIC TRANSDUCER HAVING A MASK,10-04-1995,04-06-1996,
STEVEN MCMAHON ZELLER,KNOWLES ELECTRONICS ASIA PTE. LTD. - ,KNOWLES IPC (M) SDN BHD - ,ELECTROACOUSTIC TRANSDUCER HAVING CONTACT HOLDING MEANS FOR SPRING CONTACTS FOR THE ELECTRICAL CONNECTION OF THE TRANSDUCER,17-10-2001,13-06-2002,08-10-2002,
STEVEN MCMAHON ZELLER,KNOWLES ELECTRONICS ASIA PTE. LTD. - ,KNOWLES IPC (M) SDN BHD - ,MEMBRANE FOR AN ELECTROACOUSTIC TRANSDUCER,23-09-2010,27-01-2011,24-05-2011,
STEVEN MCMAHON ZELLER,KNOWLES ELECTRONICS ASIA PTE. LTD. - ,KNOWLES IPC (M) SDN BHD - ,MEMBRANE FOR AN ACOUSTIC DEVICE AND ACOUSTIC DEVICE,28-12-2009,26-08-2010,07-05-2013,
STEVEN MCMAHON ZELLER,KNOWLES ELECTRONICS ASIA PTE. LTD. - ,KNOWLES IPC (M) SDN BHD - ,ELECTROACOUSTIC TRANSDUCER COMPRISING SPRING CONTACTS FORMED WITH AT LEAST ONE BEND,02-03-1998,06-06-2000,
STEVEN MCMAHON ZELLER,KNOWLES ELECTRONICS ASIA PTE. LTD. - ,KNOWLES IPC (M) SDN BHD - ,ELECTRO-ACOUSTIC TRANSDUCER COMPRISING A MEMS SENSOR,28-01-2010,05-08-2010,03-09-2013,
STEVEN MCMAHON ZELLER,KNOWLES ELECTRONICS ASIA PTE. LTD. - ,KNOWLES IPC (M) SDN BHD - ,ELECTROACOUSTIC TRANSDUCER WITH BUILT IN TRANSDUCER CIRCUIT,28-01-2005,03-11-2005,02-10-2007,
STEVEN MCMAHON ZELLER,KNOWLES ELECTRONICS ASIA PTE. LTD. - ,KNOWLES IPC (M) SDN BHD - ,ELECTROACOUSTIC TRANSDUCER HAVING DIAPHRAGM WITH COIL MOUNTING PROJECTIONS AND INTERPOSED STABILIZING WALLS,25-01-2001,02-08-2001,21-01-2003,
STEVEN MCMAHON ZELLER,KNOWLES ELECTRONICS ASIA PTE. LTD. - ,KNOWLES IPC (M) SDN BHD - ,APPARATUS HAVING AN ELECTROACOUSTIC TRANSDUCER MOUNTED ON A P.C. BOARD WITH THE AID OF A HOLDING MEANS,23-03-2000,30-12-2003,
PAUL HASTINGS LLP,ADVANCED DIAMOND PRODUCTS LLC (D/B/A NORTHWEST SUPERABRASIVES) - RALLS & ASSOCIATES INC. (D/B/A BURTON SAW & SUPPLY CO.) - ,BURTON SAW AND SUPPLY L.L.C. - ,CHROMIUM MOUNTED DIAMOND PARTICLE CUTTING TOOL OR WEAR SURFACE AND METHOD,16-10-2001,27-06-2002,08-06-2004,
PAUL HASTINGS LLP,ADVANCED DIAMOND PRODUCTS LLC (D/B/A NORTHWEST SUPERABRASIVES) - RALLS & ASSOCIATES INC. (D/B/A BURTON SAW & SUPPLY CO.) - ,BURTON SAW AND SUPPLY L.L.C. - ,Band Saw Blade Guide Wear Pad,29-12-2006,24-01-2008,
VOLPE AND KOENIG P.C.,WIERSMA DIEDERIK SYBOLT - RIBOLI FRANCESCO - VYNCK KEVIN - BURRESI MATTEO - ,CNR - CONSIGLIO NAZIONALE DELLE RICERCHE - ,WAVEGUIDE FOR EFFICIENT LIGHT TRAPPING AND ABSORPTION,01-03-2013,27-06-2013,03-02-2015,
STUART B. CHINN / MARK D. MENGE,WEISS SHIMON - SCHLAMP MICHAEL C. - ALIVISATOS A. PAUL - ,THE REGENTS OF THE UNIVERSITY OF CALIFORNIA - ,ELECTRONIC DISPLAYS USING OPTICALLY PUMPED LUMINESCENT SEMICONDUCTOR NANOCRYSTALS,02-02-2007,17-04-2008,13-04-2010,
GREENBERG TRAURIG LLP,TUTTLE JOHN R - ,KEYSTONE TECHNOLOGY SOLUTIONS LLC - ,Systems and Methods to Determine Motion Parameters Using RFID Tags,26-06-2012,25-10-2012,21-01-2014,
PAUL HASTINGS LLP,NEWRIGHT LLC (D/B/A WRIGHT MACHINE TOOL) - ,WRIGHT MACHINE TOOL L.L.C. - ,SAW SHARPENER,10-09-1993,05-12-1995,
PROCOPIO CORY HARGREAVES & SAVITCH LLP,BOSTWICK PETER JOHN - ,CERTEFI INC. - ,POINT OF SALE SYSTEM INVENTORY SYSTEM AND METHODS THEREOF,10-03-2014,11-09-2014,
STUART B. CHINN / MARK D. MENGE,WEISS SHIMON - SCHLAMP MICHAEL C. - ALIVISATOS A. PAUL - ,THE REGENTS OF THE UNIVERSITY OF CALIFORNIA - ,ELECTRONIC DISPLAYS USING OPTICALLY PUMPED LUMINESCENT SEMICONDUCTOR NANOCRYSTALS,26-05-2009,17-09-2009,27-09-2011,
KOLISCH HARTWELL P.C.,JOHNSEN JAMES B. - OIEN HAL J. - ,JORDCO INC. - ,POROUS MATERIAL FOR INSERTION CLEANING OF INSTRUMENTS,27-01-2014,23-10-2014,
GREENBERG TRAURIG LLP,KEYSTONE TECHNOLOGY SOLUTIONS LLC - ,MICRON TECHNOLOGY INC. - ,Systems and Methods to Determine Motion Parameters Using RFID Tags,26-06-2012,25-10-2012,21-01-2014,
SEED IP LAW GROUP PLLC,LUKE HOK-SUM HORACE - TAYLOR MATTHEW WHITING - ,GOGORO INC. - ,ELECTRIC DEVICES,12-10-2012,18-04-2013,
STUART B. CHINN / MARK D. MENGE,WEISS SHIMON - SCHLAMP MICHAEL C. - ALIVISATOS A. PAUL - ,THE REGENTS OF THE UNIVERSITY OF CALIFORNIA - ,ELECTRONIC DISPLAYS USING OPTICALLY PUMPED LUMINESCENT SEMICONDUCTOR NANOCRYSTALS,17-08-2011,08-12-2011,11-02-2014,
STUART B. CHINN / MARK D. MENGE,WEISS SHIMON - SCHLAMP MICHAEL C. - ALIVISATOS A. PAUL - ,THE REGENTS OF THE UNIVERSITY OF CALIFORNIA - ,ELECTRONIC DISPLAYS USING OPTICALLY PUMPED LUMINESCENT SEMICONDUCTOR NANOCRYSTALS,23-08-2011,22-12-2011,25-03-2014,
CYMER LLC,TCZ LLC - ,CYMER LLC - ,LASER THIN FILM POLY-SILICON ANNEALING SYSTEM,01-07-2004,30-06-2005,13-06-2006,
CYMER LLC,TCZ LLC - ,CYMER LLC - ,LASER THIN FILM POLY-SILICON ANNEALING OPTICAL SYSTEM,27-12-2010,07-07-2011,29-01-2013,
CYMER LLC,TCZ LLC - ,CYMER LLC - ,VERY HIGH ENERGY HIGH STABILITY GAS DISCHARGE LASER SURFACE TREATMENT SYSTEM,18-02-2004,23-09-2004,23-01-2007,
CYMER LLC,TCZ LLC - ,CYMER LLC - ,SYSTEMS AND METHOD FOR OPTIMIZATION OF LASER BEAM SPATIAL INTENSITY PROFILE,12-02-2007,01-11-2007,22-05-2012,
STUART B. CHINN / MARK D. MENGE,WEISS SHIMON - SCHLAMP MICHAEL C. - ALIVISATOS A. PAUL - ,THE REGENTS OF THE UNIVERSITY OF CALIFORNIA - ,ELECTRONIC DISPLAYS USING OPTICALLY PUMPED LUMINESCENT SEMICONDUCTOR NANOCRYSTALS,24-03-2014,24-07-2014,
SLATER & MATSIL L.L.P.,PENG XU - ,HUAWEI DEVICE CO. LTD. - ,WATER-PROOF STRUCTURE PROVIDED WITH INTERNAL BAROMETER FOR TERMINAL DEVICE AND METHOD FOR CONTROLLING A WATER-PROOF STRUCTURE,12-07-2013,13-03-2014,
NEIL YANG,ACTIVISION PUBLISHING INC. - ,BANK OF AMERICA N.A. - ,USE OF INFORMATION CHANNELS TO PROVIDE COMMUNICATIONS IN A VIRTUAL ENVIRONMENT,29-09-2014,15-01-2015,
NEIL YANG,ACTIVISION PUBLISHING INC. - ,BANK OF AMERICA N.A. - ,INTERACTIVE VIDEO GAME SYSTEM COMPRISING TOYS WITH REWRITABLE MEMORIES,22-09-2014,05-02-2015,
DLA PIPER LLP,O'HARA JOHN - ,SAFEPAY AUSTRALIA PTY LIMITED - ,SYSTEM FOR HANDLING NETWORK TRANSACTIONS,21-07-2009,17-12-2009,
PETER B. MARTINE,SUZUKI MASAYA - NAGAE MIZUKI - KURAMATA TAKASHI - ,TOKAI OPTICAL CO. LTD. - ,METHOD FOR DESIGNING SPECTACLE LENSES,23-03-2011,14-07-2011,
JAMES A. HENRICKS,BAGAOISAN CELSO - PAI SURESH - DREHER JAMES - TAMADDON KIRK - ,ATSINA SURGICAL LLC - ,LIGATION CLIP,19-04-2014,28-08-2014,
ROBERT D. BECKER ESQ.,MOLL INDUSTRIES INC. - MOLL HOLDINGS INC. - MOLL EUROPE HOLDINGS LLC - MOLL LATIN AMERICA HOLDINGS LLC - ,BERKENHOFF GMBH - ,BRUSH FOR IMPROVED TUFT RETENTION AND ANCHOR WIRE THEREFOR,30-04-1997,21-04-1998,
HUNTON & WILLIAMS LLP,VORDERMEIER HANS - WHELAN ADAM - ,THE SECRETARY OF STATE FOR ENVIRONMENT FOOD AND RURAL AFFAIRS ACTING THROUGH THE ANIMAL AND PLANT HEALTH AGENCY - ,DIAGNOSTIC REAGENTS,08-02-2013,30-05-2013,
PERKINS COIE LLP,CHAVDA ANKUR - RAO SIRA P. - TALWAR MOHIT - VENKATESHAIAH SETTY - ,MICROSOFT CORPORATION - ,AGGREGATING ENDPOINT CAPABILITIES FOR A USER,07-02-2012,02-08-2012,
ROPES & GRAY LLP,ARAVAMUDAN MURALI - VENKATARAMAN SASHIKUMAR - BARVE RAKESH - MOHAIDEEN PATHURUDEEN AHMED NIZAM - ,VEVEO INC. - ,METHOD AND SYSTEM FOR CAPTURING AND EXPLOITING USER INTENT IN A CONVERSATIONAL INTERACTION BASED INFORMATION RETRIEVAL SYSTEM,09-05-2014,13-11-2014,
WORKMAN NYDEGGER,MEDICAL TECHNOLOGY GROUP INC - ,INTEGRATED VASCULAR SYSTEMS INC - ,APPARATUS AND METHODS FOR POSITIONING A VASCULAR SHEATH,15-09-2006,11-01-2007,
ROSSI KIMMS & MCDOWELL LLP,YAMADA MICHIYA - FUJIHIRA TATSUHIKO - ,FUJI ELECTRIC CO. LTD. - ,METHOD OF MANUFACTURING A SUPER-JUNCITON SEMICONDUCTOR DEVICE,18-02-2014,28-08-2014,
KNOBBE MARTENS OLSON & BEAR LLP,DIA-NITRIX CO. LTD. - ,MITSUBISHI RAYON CO. LTD. - ,METHOD FOR PRODUCING ACRYLAMIDE USING MICROBIAL CATALYST,21-06-2012,01-11-2012,
VALERIE BRENNAN HOGAN LOVELLS US LLP,SONITUS MEDICAL INC. - ,GENERAL ELECTRIC CAPITAL CORPORATION AS AGENT - ,STUTTERING TREATMENT METHODS AND APPARATUS,15-02-2008,20-08-2009,05-07-2011,
VALERIE BRENNAN HOGAN LOVELLS US LLP,SONITUS MEDICAL INC. - ,GENERAL ELECTRIC CAPITAL CORPORATION AS AGENT - ,IMPLANTABLE PIEZOELECTRIC POLYMER FILM MICROPHONE,03-08-2011,28-06-2012,
VALERIE BRENNAN HOGAN LOVELLS US LLP,SONITUS MEDICAL INC. - ,GENERAL ELECTRIC CAPITAL CORPORATION AS AGENT - ,ACTUATOR SYSTEMS FOR ORAL-BASED APPLIANCES,23-12-2009,29-07-2010,22-01-2013,
VALERIE BRENNAN HOGAN LOVELLS US LLP,SONITUS MEDICAL INC. - ,GENERAL ELECTRIC CAPITAL CORPORATION AS AGENT - ,BONE CONDUCTION HEARING DEVICE WITH OPEN-EAR MICROPHONE,22-08-2007,26-02-2009,30-04-2013,
VALERIE BRENNAN HOGAN LOVELLS US LLP,SONITUS MEDICAL INC. - ,GENERAL ELECTRIC CAPITAL CORPORATION AS AGENT - ,SYSTEMS AND METHODS TO PROVIDE TWO-WAY COMMUNICATIONS,07-12-2007,11-06-2009,05-08-2014,
